Runtime(s),0.001119,0.001338,0.009361,0.419762,0.807409,1.07637,1.46066,2.19799,3.48544,6.42688,12.7215,26.431,52.7421
p1.shareValue,0,0.333333,0.515152,0.323529,0.226277,0.314103,0.5,0.323077,0.499779,0.233369,0.31336,0.315875,0.313519
p1.shareSize,0,0.5,0.5,0.375,0.25,0.3125,0.484375,0.328125,0.492188,0.232422,0.313477,0.319336,0.313721
p2.shareValue,1,0.533333,0.529412,0.633803,0.75,0.683453,0.521664,0.67452,0.509451,0.76996,0.685344,0.681771,0.684926
p2.shareSize,1,0.5,0.5,0.625,0.75,0.6875,0.515625,0.671875,0.507812,0.767578,0.686523,0.680664,0.686279
Resource.size,1,2,4,8,16,32,64,128,256,512,1024,2048,4096
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
p1.gain,0,0.166667,0.015152,0.051471,0.023723,0.001603,0.015625,0.005048,0.007591,0.000947,0.000117,0.003461,0.000202
p2.gain,0,0.033333,0.029412,0.008803,0,0.004047,0.006039,0.002645,0.001639,0.002382,0.001179,0.001107,0.001353
p1.gain/p2.gain,#DIV/0!,5.000060001,0.515163879,5.846983983,#DIV/0!,0.396095873,2.587348899,1.908506616,4.631482611,0.397565071,0.099236641,3.126467931,0.149297857
